"subject","trial","playerMood","playerMoodRT","initialBank","playerBet","playerBetRT","playerEarnings","endingBank","playerStart","playerHandSoft","playerAction","playerActionRT","playerTotal","dealerStart","dealerTotal","description","playerFeedbackRT"
"0k0xiwrpdg8757k0v8g3fqlt",1,50,1323,500,50,2218,0,450,16,TRUE,"stand",1839,16,10,18,"dealer win",1302
"0k0xiwrpdg8757k0v8g3fqlt",2,NA,NA,450,50,3339,0,400,7,FALSE,"hit",1148,25,6,10,"player bust",1771
"0k0xiwrpdg8757k0v8g3fqlt",2,NA,NA,450,50,3339,0,400,7,FALSE,"hit",127,25,6,10,"player bust",1771
"0k0xiwrpdg8757k0v8g3fqlt",3,NA,NA,400,50,2117,100,450,15,TRUE,"hit",1943,20,7,17,"player win",1077
"0k0xiwrpdg8757k0v8g3fqlt",3,NA,NA,400,50,2117,100,450,15,TRUE,"stand",923,20,7,17,"player win",1077
"0k0xiwrpdg8757k0v8g3fqlt",4,NA,NA,450,50,2012,0,400,13,FALSE,"hit",1237,18,10,21,"dealer win",1532
"0k0xiwrpdg8757k0v8g3fqlt",4,NA,NA,450,50,2012,0,400,13,FALSE,"stand",889,18,10,21,"dealer win",1532
"0k0xiwrpdg8757k0v8g3fqlt",5,42,2353,400,50,1980,100,450,14,FALSE,"hit",1512,21,10,18,"player win",418
"0k0xiwrpdg8757k0v8g3fqlt",5,42,2353,400,50,1980,100,450,14,FALSE,"stand",1001,21,10,18,"player win",418
"0k0xiwrpdg8757k0v8g3fqlt",6,NA,NA,450,50,1631,0,400,16,FALSE,"stand",1320,16,10,19,"dealer win",757
"0k0xiwrpdg8757k0v8g3fqlt",7,NA,NA,400,50,1716,100,450,20,FALSE,"stand",1227,20,10,24,"dealer bust",1434
"0k0xiwrpdg8757k0v8g3fqlt",8,50,1741,450,50,2022,100,500,14,FALSE,"hit",1535,19,4,23,"dealer bust",1385
"0k0xiwrpdg8757k0v8g3fqlt",8,50,1741,450,50,2022,100,500,14,FALSE,"stand",621,19,4,23,"dealer bust",1385
"0k0xiwrpdg8757k0v8g3fqlt",9,NA,NA,500,50,1629,50,500,17,FALSE,"stand",1396,17,6,17,"draw",930
"0k0xiwrpdg8757k0v8g3fqlt",10,52,2162,500,50,1493,50,500,12,FALSE,"hit",1152,19,9,19,"draw",413
"0k0xiwrpdg8757k0v8g3fqlt",10,52,2162,500,50,1493,50,500,12,FALSE,"stand",626,19,9,19,"draw",413
"0k0xiwrpdg8757k0v8g3fqlt",11,NA,NA,500,50,1639,0,450,13,FALSE,"hit",1028,23,7,17,"player bust",1101
"0k0xiwrpdg8757k0v8g3fqlt",12,NA,NA,450,50,1423,100,500,6,FALSE,"hit",1329,18,3,22,"dealer bust",11292
"0k0xiwrpdg8757k0v8g3fqlt",12,NA,NA,450,50,1423,100,500,6,FALSE,"hit",501,18,3,22,"dealer bust",11292
"0k0xiwrpdg8757k0v8g3fqlt",12,NA,NA,450,50,1423,100,500,6,FALSE,"stand",638,18,3,22,"dealer bust",11292
"0k0xiwrpdg8757k0v8g3fqlt",13,NA,NA,500,50,2217,100,550,14,FALSE,"hit",1495,19,8,18,"player win",6002
"0k0xiwrpdg8757k0v8g3fqlt",13,NA,NA,500,50,2217,100,550,14,FALSE,"stand",535,19,8,18,"player win",6002
"0k0xiwrpdg8757k0v8g3fqlt",14,63,1812,550,50,1933,100,600,17,FALSE,"stand",917,17,5,26,"dealer bust",3211
"0k0xiwrpdg8757k0v8g3fqlt",15,NA,NA,600,50,1509,0,550,18,TRUE,"stand",1296,18,10,19,"dealer win",144
"0k0xiwrpdg8757k0v8g3fqlt",16,NA,NA,550,50,1490,100,600,16,FALSE,"stand",1293,16,10,25,"dealer bust",300
"0k0xiwrpdg8757k0v8g3fqlt",17,NA,NA,600,50,1676,100,650,9,FALSE,"hit",970,19,8,18,"player win",718
"0k0xiwrpdg8757k0v8g3fqlt",17,NA,NA,600,50,1676,100,650,9,FALSE,"stand",853,19,8,18,"player win",718
"0k0xiwrpdg8757k0v8g3fqlt",18,65,2826,650,50,1793,0,600,8,FALSE,"hit",905,16,3,18,"dealer win",395
"0k0xiwrpdg8757k0v8g3fqlt",18,65,2826,650,50,1793,0,600,8,FALSE,"hit",1001,16,3,18,"dealer win",395
"0k0xiwrpdg8757k0v8g3fqlt",18,65,2826,650,50,1793,0,600,8,FALSE,"stand",897,16,3,18,"dealer win",395
