Trial Number,value now,Delay,Value later,Value later delay,Response,reaction time,SubID,Cond
1,20,0,45,31,0,1.7314,28,1
2,20,0,29,31,0,1.6698,28,1
3,20,0,77,31,1,0.8521,28,1
4,20,0,23,122,0,1.2833,28,1
5,20,0,25,1,1,1.3134,28,1
6,20,0,23,1,1,1.1373,28,1
7,20,0,25,58,0,1.5478,28,1
8,20,0,27,7,0,0.5911,28,1
9,20,0,21,1,1,1.1833,28,1
10,20,0,27,13,0,1.3976,28,1
11,20,0,31,31,0,1.1863,28,1
12,20,0,29,13,0,2.2859,28,1
13,20,0,23,31,0,1.315,28,1
14,20,0,45,7,1,1.2302,28,1
15,20,0,69,1,1,0.8076,28,1
16,20,0,21,58,1,0.8814,28,1
17,20,0,61,13,0,1.1561,28,1
18,20,0,57,122,0,1.2677,28,1
19,20,0,41,13,0,1.1481,28,1
20,20,0,37,7,1,1.3458,28,1
21,20,0,31,13,0,1.4333,28,1
22,20,0,61,122,0,1.0603,28,1
23,20,0,77,7,1,1.2548,28,1
24,20,0,21,7,0,1.1052,28,1
25,20,0,69,7,0,0.7549,28,1
26,20,0,33,122,0,1.1512,28,1
27,20,0,77,13,0,1.434,28,1
28,20,0,25,31,0,1.3101,28,1
29,20,0,69,122,0,1.3954,28,1
30,20,0,61,1,1,1.0994,28,1
31,20,0,41,7,1,1.1282,28,1
32,20,0,21,13,0,1.0375,28,1
33,20,0,27,31,0,0.993,28,1
34,20,0,51,7,1,1.1309,28,1
35,20,0,33,1,1,1.2495,28,1
36,20,0,57,31,0,1.2614,28,1
37,20,0,51,13,0,2.0756,28,1
38,20,0,41,122,0,1.6458,28,1
39,20,0,21,1,0,0.8481,28,1
40,20,0,45,1,1,1.0249,28,1
41,20,0,51,122,0,1.0402,28,1
42,20,0,33,58,0,0.8852,28,1
43,20,0,57,7,0,1.5782,28,1
44,20,0,61,31,0,0.902,28,1
45,20,0,21,31,0,1.1356,28,1
46,20,0,41,58,0,0.7819,28,1
47,20,0,69,31,0,0.7399,28,1
48,20,0,45,122,0,1.7082,28,1
49,20,0,29,1,1,0.7799,28,1
50,20,0,77,1,1,1.1577,28,1
51,20,0,25,7,0,2.2205,28,1
52,20,0,21,7,0,2.1413,28,1
53,20,0,31,7,1,1.3462,28,1
54,20,0,25,13,0,1.411,28,1
55,20,0,77,58,0,1.2209,28,1
56,20,0,57,13,1,1.8093,28,1
57,20,0,29,7,1,1.096,28,1
58,20,0,23,7,0,1.5218,28,1
59,20,0,27,58,0,0.946,28,1
60,20,0,37,13,0,1.5415,28,1
61,20,0,21,31,0,1.7367,28,1
62,20,0,51,1,1,1.3899,28,1
63,20,0,51,58,0,1.1016,28,1
64,20,0,41,1,1,1.4209,28,1
65,20,0,41,31,1,1.9537,28,1
66,20,0,29,122,0,0.7459,28,1
67,20,0,33,7,1,1.3914,28,1
68,20,0,69,58,0,0.9558,28,1
69,20,0,37,31,0,1.055,28,1
70,20,0,23,13,0,1.261,28,1
71,20,0,37,122,0,0.8507,28,1
72,20,0,21,58,0,0.8471,28,1
73,20,0,31,122,0,0.9221,28,1
74,20,0,61,58,0,1.4932,28,1
75,20,0,77,122,0,0.8204,28,1
76,20,0,23,58,0,1.0013,28,1
77,20,0,33,31,0,1.1274,28,1
78,20,0,69,13,1,1.3059,28,1
79,20,0,25,122,0,1.4617,28,1
80,20,0,21,13,0,1.6313,28,1
81,20,0,33,13,0,1.541,28,1
82,20,0,31,1,1,0.8354,28,1
83,20,0,21,122,0,1.1776,28,1
84,20,0,45,13,1,1.7979,28,1
85,20,0,57,1,1,0.8349,28,1
86,20,0,27,1,1,0.952,28,1
87,20,0,45,58,0,1.7216,28,1
88,20,0,31,58,0,0.9153,28,1
89,20,0,37,1,1,1.087,28,1
90,20,0,57,58,0,1.249,28,1
91,20,0,29,58,0,1.3843,28,1
92,20,0,27,122,0,1.1673,28,1
93,20,0,51,31,0,0.9873,28,1
94,20,0,21,122,0,0.9893,28,1
95,20,0,37,58,0,0.8908,28,1
96,20,0,61,7,0,1.3372,28,1
1,20,0,41,13,1,5.9481,12,1
2,20,0,21,7,0,9.3511,12,1
3,20,0,45,31,1,1.7969,12,1
4,20,0,27,58,0,4.4385,12,1
5,20,0,51,31,1,1.5877,12,1
6,20,0,33,58,1,4.8573,12,1
7,20,0,33,13,1,2.6118,12,1
8,20,0,27,7,1,5.722,12,1
9,20,0,33,7,1,7.5301,12,1
10,20,0,41,7,1,4.2638,12,1
11,20,0,31,31,1,1.7012,12,1
12,20,0,77,13,1,3.0798,12,1
13,20,0,25,58,0,3.0545,12,1
14,20,0,77,122,1,2.5105,12,1
15,20,0,23,31,0,2.3379,12,1
16,20,0,27,13,1,2.7938,12,1
17,20,0,21,13,0,3.0211,12,1
18,20,0,27,1,1,4.0078,12,1
19,20,0,29,122,0,1.5929,12,1
20,20,0,41,122,0,7.5861,12,1
21,20,0,69,58,1,2.1014,12,1
22,20,0,25,122,0,1.6961,12,1
23,20,0,57,58,1,6.4312,12,1
24,20,0,69,122,1,1.9833,12,1
25,20,0,37,13,1,14.2062,12,1
26,20,0,27,31,1,5.2816,12,1
27,20,0,61,1,1,0.9715,12,1
28,20,0,21,31,0,1.5673,12,1
29,20,0,29,1,1,1.103,12,1
30,20,0,41,58,1,2.978,12,1
31,20,0,69,31,1,1.0261,12,1
32,20,0,61,13,1,2.0799,12,1
33,20,0,45,13,1,3.5363,12,1
34,20,0,33,1,1,1.1433,12,1
35,20,0,21,122,0,1.6886,12,1
36,20,0,23,58,0,2.862,12,1
37,20,0,51,122,1,1.4704,12,1
38,20,0,29,13,1,1.6711,12,1
39,20,0,27,122,0,6.8546,12,1
40,20,0,51,58,1,1.1533,12,1
41,20,0,25,7,1,2.1888,12,1
42,20,0,21,1,0,1.2093,12,1
43,20,0,57,13,1,1.2515,12,1
44,20,0,23,7,0,3.5991,12,1
45,20,0,29,31,0,0.4933,12,1
46,20,0,57,122,1,1.9507,12,1
47,20,0,69,7,1,1.0121,12,1
48,20,0,37,1,1,1.4521,12,1
49,20,0,77,58,1,1.4358,12,1
50,20,0,23,13,0,3.6843,12,1
51,20,0,69,13,1,2.7105,12,1
52,20,0,25,31,1,4.0349,12,1
53,20,0,37,58,1,1.0523,12,1
54,20,0,31,1,1,1.1956,12,1
55,20,0,37,7,1,1.6792,12,1
56,20,0,21,58,0,1.333,12,1
57,20,0,37,31,1,1.6525,12,1
58,20,0,77,7,1,0.9753,12,1
59,20,0,61,31,1,1.4493,12,1
60,20,0,45,122,0,5.2453,12,1
61,20,0,23,1,1,2.7682,12,1
62,20,0,69,1,1,1.034,12,1
63,20,0,37,122,0,2.1188,12,1
64,20,0,77,1,1,1.2216,12,1
65,20,0,21,1,0,1.6948,12,1
66,20,0,51,7,1,1.1806,12,1
67,20,0,61,58,1,1.4736,12,1
68,20,0,45,1,1,1.8017,12,1
69,20,0,33,31,1,1.8538,12,1
70,20,0,33,122,0,2.4808,12,1
71,20,0,25,1,1,1.3232,12,1
72,20,0,31,58,1,1.3731,12,1
73,20,0,31,7,1,1.7566,12,1
74,20,0,45,7,1,1.5722,12,1
75,20,0,25,13,1,1.6731,12,1
76,20,0,29,58,1,2.0742,12,1
77,20,0,23,122,0,1.5023,12,1
78,20,0,57,31,1,1.4592,12,1
79,20,0,31,13,1,1.5888,12,1
80,20,0,21,7,0,1.292,12,1
81,20,0,41,31,1,2.4544,12,1
82,20,0,41,1,1,3.9434,12,1
83,20,0,57,7,1,3.2406,12,1
84,20,0,61,122,1,3.847,12,1
85,20,0,57,1,1,1.7629,12,1
86,20,0,51,13,1,1.0975,12,1
87,20,0,45,58,1,2.7086,12,1
88,20,0,51,1,1,4.1657,12,1
89,20,0,29,7,1,1.6838,12,1
90,20,0,31,122,0,2.7261,12,1
91,20,0,21,13,0,1.673,12,1
92,20,0,77,31,1,1.4837,12,1
93,20,0,21,31,0,1.0926,12,1
94,20,0,61,7,1,1.8533,12,1
95,20,0,21,58,0,1.3245,12,1
96,20,0,21,122,0,1.0643,12,1
1,20,0,23,60,0,1.4717,24,1
2,20,0,47,30,1,1.9414,24,1
3,20,0,49,3,1,1.0624,24,1
4,20,0,25,120,0,1.217,24,1
5,20,0,25,3,0,1.1736,24,1
6,20,0,75,14,1,0.9559,24,1
7,20,0,36.2,3,0,1.6723,24,1
8,20,0,23,120,0,0.9718,24,1
9,20,0,71,120,0,1.3155,24,1
10,20,0,47,8,1,1.1588,24,1
11,20,0,21.6,60,1,1.1472,24,1
12,20,0,60,3,1,1.8474,24,1
13,20,0,60,14,0,1.7348,24,1
14,20,0,32,14,0,1.5719,24,1
15,20,0,58,120,0,1.0167,24,1
16,20,0,27.4,30,0,1.4028,24,1
17,20,0,47,14,0,1.4718,24,1
18,20,0,28.6,3,0,1.0234,24,1
19,20,0,58,14,0,1.1017,24,1
20,20,0,35,3,1,1.2454,24,1
21,20,0,20.6,8,0,1.4614,24,1
22,20,0,40.6,120,0,1.2147,24,1
23,20,0,32,120,0,1.1969,24,1
24,20,0,20.6,3,0,1.3165,24,1
25,20,0,25,30,0,1.5948,24,1
26,20,0,21.6,30,0,1.1789,24,1
27,20,0,71,30,0,1.2342,24,1
28,20,0,49,120,0,0.9681,24,1
29,20,0,25,14,0,1.2374,24,1
30,20,0,27.4,120,0,1.1408,24,1
31,20,0,23,14,0,1.3102,24,1
32,20,0,32,30,0,1.5353,24,1
